project_id,plotid,plotid_old,x,y
8,1,4,4841852.01098531,2909134.93325499
8,2,5,4886213.16869789,2939458.99969735
8,3,7,4540922.38398093,3015456.95262945
8,4,8,4561804.26406655,3061572.38609913
8,5,10,4892927.58311246,2934327.06011209
8,6,12,4534121.92442344,2965405.62314341
8,7,13,4579617.04898488,2929114.91009259
8,8,14,4882817.8300519,2983606.93353356
8,9,16,4869790.1876403,2979427.25885834
8,10,18,4723768.36206442,3017660.03222813
8,11,23,4683916.84417965,3088808.93271933
8,12,25,4710775.71620299,2982015.94553119
8,13,26,4640189.00568133,2948922.67297135
8,14,30,4909156.46125761,2966470.32353918
8,15,32,4662552.93246791,2935642.19851223
8,16,35,4765462.38368513,3024008.46906793
8,17,39,4837701.45018979,2887185.41329078
8,18,45,4670211.68702582,2935351.08678187
8,19,49,4759783.48064913,3018623.35027944
8,20,51,4875395.56513179,2962241.34171605
8,21,52,4554235.69029704,2948872.11106403
8,22,57,4676045.66435648,2884936.8934277
8,23,59,4700229.40612911,2947866.95474588
8,24,61,4619272.45075016,2877930.06931739
8,25,64,4711682.54005027,2916064.19419879
8,26,67,4568522.14825733,2890263.37148444
8,27,72,4571387.49400078,3063940.05491584
8,28,73,4767494.32338612,3025080.80313651
8,29,77,4629620.97016802,2846659.07077724
8,30,79,4682920.48960334,3034304.79396036
8,31,81,4536400.37818469,3006248.14510627
8,32,82,4673325.672407,2981264.29863721
8,33,84,4553054.55899838,3004550.65999295
8,34,85,4884207.96517847,2923253.00895115
8,35,88,4667325.39382477,2951942.13181069
8,36,91,4572347.10987094,2930788.85093148
8,37,92,4640896.65521708,2976918.7807226
8,38,102,4884838.435507,2978149.67646911
8,39,105,4683472.26997582,2868716.17013505
8,40,107,4514012.50710337,3022984.16058718
8,41,109,4852781.88038547,2989688.63118319
8,42,112,4680335.57458344,2919794.47036587
8,43,114,4659144.74164666,3019441.35401192
8,44,118,4760565.8431976,2923889.30217873
8,45,119,4862206.37161789,2963557.3308674
8,46,120,4698169.78300033,3069773.21047435
8,47,123,4954038.00526587,2988149.60815929
8,48,127,4746957.00834998,3069956.9886319
8,49,136,4595977.5220881,3011136.19710727
8,50,137,4758324.85588504,3032637.236128
8,51,143,4810030.30031424,3016175.87416823
8,52,147,4870695.56346096,2893554.77551676
8,53,150,4685617.4303604,3088564.27886519
8,54,151,4875815.73089108,3009874.738246
8,55,152,4647989.82608431,2935734.97251257
8,56,153,4595128.66693388,2884118.5659297
8,57,154,4757991.9467264,3068607.45111317
8,58,158,4632441.29904905,3094885.14207434
8,59,162,4720488.95895342,3014125.41645993
8,60,163,4680865.44721757,3071748.333518
8,61,164,4507763.70241283,2950366.24854842
8,62,165,4825198.86121585,3039850.20288443
8,63,168,4543243.78744451,2986321.77096564
8,64,171,4760714.23677538,2940508.81635462
8,65,172,4623378.47252244,2906601.12629005
8,66,173,4628687.57756374,2915383.13169049
8,67,178,4776902.82606106,2939422.13244984
8,68,185,4618758.90824954,2928035.34362835
8,69,197,4620548.59498555,3090220.61844384
8,70,199,4687085.38850955,2929490.32477329
8,71,200,4604569.72596076,3003237.40899538
8,72,202,4746848.08195563,2883957.01990529
8,73,203,4621299.351527,2870969.13462011
8,74,204,4800854.61821137,3001611.70711999
8,75,215,4547313.8993394,2996010.84541396
8,76,216,4772771.1719742,2962880.29273092
8,77,219,4570022.99074186,2973579.50469289
8,78,222,4708299.83092054,2914930.83141657
8,79,230,4781564.00555539,3037512.54609194
8,80,231,4710618.45103404,3014683.75039023
8,81,233,4725830.75331083,2955783.8625138
8,82,238,4752225.59988974,3072063.94568355
8,83,243,4846051.30676954,3006588.08844577
8,84,246,4622967.13094739,2925824.04150228
8,85,247,4896368.45487729,3010807.15762714
8,86,250,4837802.22471044,2876240.6498734
8,87,252,4790596.11394812,2945928.72095042
8,88,254,4855043.16233829,3004258.81244259
8,89,258,4908965.06224606,2944801.93001811
8,90,259,4611118.46698703,2872085.7425974
8,91,266,4768633.09219702,2899950.08521191
8,92,270,4757077.63308828,2970019.18501035
8,93,278,4897100.55131614,2933923.88176408
8,94,280,4563925.87013004,3015936.09027875
8,95,281,4884728.55539942,2949466.28918288
8,96,284,4683330.63060443,2964405.60445942
8,97,287,4662050.35247741,3079578.63116872
8,98,289,4782899.74539605,2993276.2859164
8,99,290,4936028.26543501,2975938.57340979
8,100,291,4833815.11616166,3001772.86933658
8,101,292,4666889.4744366,3027221.51540332
8,102,293,4691680.43906138,2939912.47248582
8,103,297,4636615.83095398,3101158.49761837
8,104,298,4545892.95025471,3026922.47752594
8,105,300,4628564.21613736,2850347.05664784
8,106,303,4688395.20346656,2985692.56096432
8,107,304,4707222.36871118,2967781.49429812
8,108,305,4849009.94017731,3043235.21593508
8,109,312,4633082.44296634,2945010.39765277
8,110,313,4883209.85294507,2959080.25339095
8,111,317,4631567.64197921,2878942.28906635
8,112,319,4634827.83670924,3044620.23363559
8,113,321,4753133.63723911,2968755.91893257
8,114,325,4499092.03070873,3019506.9275892
8,115,329,4707465.7587914,2904012.97710387
8,116,333,4640705.44011205,2889878.12321177
8,117,338,4692156.21009331,2960614.85426284
8,118,341,4628884.33012376,3083057.78157253
8,119,342,4702124.89451404,3012658.45259254
